仿真值,,,,,,,,,,实验值,,,,相对误差,
N,a [mm],d [mm],p [mm],my_theta [deg],Freq [MHz],L [uH],R [Ω],Q,,L [uH],R [Ω],Q,,L%,R%
4,30,0.8,0.5,30,6.78,0.616,0.305,86.084,,0.647,0.23,120.03,,4.814742005,32.72092431
4,30,1,0.7,40,6.78,0.502,0.243,87.986,,0.529,0.179,125.827,,5.143652059,35.65301941
4,35,0.8,0.5,50,6.78,0.768,0.347,94.177,,0.802,0.294,116.059,,4.207710864,18.05042227
4,40,0.8,0.5,85,6.78,0.882,0.38,98.784,,0.916,0.259,150.577,,3.705756772,46.78184294
4,40,0.8,0.7,20,6.78,0.962,0.401,102.247,,1,0.343,124.09,,3.775869226,16.7807867
4,40,1,0.5,20,6.78,0.939,0.287,139.361,,0.976,0.32,130.039,,3.814850379,10.24859999
4,50,1,0.5,60,6.78,1.246,0.436,121.812,,1.289,0.381,144.15,,3.326072227,14.40212033
7,40,0.8,0.5,30,6.78,2.201,1.006,93.175,,2.287,0.881,110.628,,3.747877744,14.28176377
7,60,1,0.7,40,6.78,4.042,1.685,102.212,,4.197,1.388,128.813,,3.694415868,21.36946542
7,100,0.8,0.5,80,6.78,53.815,310.104,7.393,,24.638,41.467,25.311,,118.4224548,647.8401058
,,,,,,,,,,,,,,4.025660794,23.36543835
,,,,,,,,,,,,,,5.143652059,46.78184294
