N,a [mm],d [mm],p [mm],my_theta [deg],Freq [MHz],L [uH],R [¦¸],Q
4,30,0.8,0.5,30,6.78,0.616134175,0.304904203,86.08380398
4,30,1,0.7,40,6.78,0.502169506,0.243135428,87.98561078
4,35,0.8,0.5,50,6.78,0.767966782,0.347383043,94.17668142
4,40,0.8,0.5,85,6.78,0.881670091,0.3802139,98.78424409
4,40,0.8,0.7,20,6.78,0.962433756,0.400986295,102.2470718
4,40,1,0.5,20,6.78,0.93857469,0.286905309,139.3605387
4,50,1,0.5,60,6.78,1.246126929,0.43579581,121.8116409
7,40,0.8,0.5,30,6.78,2.201286036,1.0064414,93.17460229
7,60,1,0.7,40,6.78,4.041945366,1.68460818,102.211814
7,100,0.8,0.5,80,6.78,53.81492441,310.1043639,7.392722749
